state,year,condition,instrument,measure,question_id,orientation,strat_category,strat_group,value,ci_lo,ci_hi,unit,suppressed,no_data,caution,footnote_symbol,footnote
TX,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.0,8.1,10.0,%,False,False,False,,
TX,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,7.9,7.2,8.6,%,False,False,False,,
TX,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,8.3,7.4,9.3,%,False,False,False,,
UT,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.9,10.2,11.6,%,False,False,False,,
UT,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,11.8,11.0,12.6,%,False,False,False,,
UT,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.8,10.0,11.5,%,False,False,False,,
UT,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.9,10.1,11.7,%,False,False,False,,
UT,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.9,10.2,11.8,%,False,False,False,,
VA,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.4,8.7,10.3,%,False,False,False,,
VA,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.5,8.7,10.3,%,False,False,False,,
VA,2021,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.7,9.9,11.6,%,False,False,False,,
VA,2022,asthma,brfss,prevalence,AST02,direct,Overall,Overall,9.9,9.0,10.9,%,False,False,False,,
VA,2023,asthma,brfss,prevalence,AST02,direct,Overall,Overall,10.1,9.0,11.2,%,False,False,False,,
VI,2019,asthma,brfss,prevalence,AST02,direct,Overall,Overall,,,,%,False,True,False,*,No data available
VI,2020,asthma,brfss,prevalence,AST02,direct,Overall,Overall,,,,%,False,True,False,*,No data available
