state,year,condition,brfss_prevalence_aa,brfss_prevalence_lo,brfss_prevalence_hi,nvss_mortality_aa,nvss_mortality_lo,nvss_mortality_hi,cms_hospitalization_aa,cms_hospitalization_lo,cms_hospitalization_hi,brfss_treatment_rate,brfss_treatment_lo,brfss_treatment_hi,brfss_treatment_question,n_suppressed
PA,2022,copd,6.6,5.5,7.8,84.6,82.3,86.8,6.87,6.71,7.02,54.1,42.5,65.2,COPD02,0
PA,2023,copd,,,,,,,,,,,,,COPD02,0
PR,2019,copd,4.5,3.9,5.3,,,,,,,86.0,79.1,90.9,COPD02,0
PR,2020,copd,5.1,4.4,5.9,,,,,,,85.5,77.3,91.1,COPD02,0
PR,2021,copd,4.7,4.0,5.6,,,,,,,86.8,78.8,92.1,COPD02,0
PR,2022,copd,4.8,4.1,5.6,,,,,,,86.9,77.3,92.8,COPD02,0
PR,2023,copd,5.6,4.7,6.8,,,,,,,88.7,80.5,93.8,COPD02,0
RI,2019,copd,6.2,5.5,7.0,94.0,85.5,102.5,15.67,14.85,16.49,70.2,59.4,79.2,COPD02,0
RI,2020,copd,6.2,5.3,7.1,81.9,74.0,89.7,8.77,8.16,9.39,43.1,33.3,53.4,COPD02,0
RI,2021,copd,5.2,4.4,6.0,73.6,66.1,81.1,8.93,8.31,9.56,60.7,49.6,70.8,COPD02,0
RI,2022,copd,6.1,5.3,6.9,73.8,66.6,81.1,9.95,9.29,10.61,53.6,41.6,65.3,COPD02,0
RI,2023,copd,5.8,5.0,6.7,,,,,,,77.2,70.1,83.1,COPD02,0
SC,2019,copd,7.4,6.7,8.2,119.5,115.0,123.9,8.36,8.13,8.59,53.5,46.2,60.8,COPD02,0
SC,2020,copd,7.2,6.3,8.2,119.1,114.7,123.5,5.01,4.83,5.18,60.5,49.5,70.4,COPD02,0
SC,2021,copd,6.8,6.1,7.5,116.8,112.4,121.3,4.4,4.24,4.57,69.0,62.5,74.8,COPD02,0
SC,2022,copd,6.8,6.2,7.5,109.2,105.0,113.3,4.43,4.26,4.6,62.4,54.2,70.0,COPD02,0
SC,2023,copd,6.7,6.0,7.4,,,,,,,69.3,62.1,75.8,COPD02,0
SD,2019,copd,5.2,4.3,6.4,126.5,115.3,137.7,5.41,4.97,5.85,49.9,38.7,61.1,COPD02,0
SD,2020,copd,5.7,4.2,7.7,101.7,91.7,111.6,3.17,2.83,3.51,43.6,32.2,55.8,COPD02,0
SD,2021,copd,5.4,4.2,6.9,115.7,104.8,126.6,3.01,2.68,3.35,53.7,44.9,62.2,COPD02,0
SD,2022,copd,6.3,4.7,8.5,96.5,86.9,106.1,2.25,1.96,2.53,55.9,42.9,68.1,COPD02,0
